127.0.0.1      06/03/16      7.91 MiB     1.28 MiB     9.19 MiB     2.11 kbit/s
127.0.0.1      06/03/16     56.60 MiB    10.12 MiB    66.72 MiB    13.72 kbit/s
192.168.121.128     06/02/2016    98.75 MiB     1.18 MiB    99.93 MiB    34.29 kbit/s
127.0.0.1      06/03/16     70.27 MiB    11.74 MiB    82.02 MiB    16.37 kbit/s
127.0.0.1      06/03/16     70.27 MiB    11.74 MiB    82.02 MiB    16.37 kbit/s
127.0.0.1      06/03/16     70.27 MiB    11.74 MiB    82.02 MiB    16.37 kbit/s
127.0.0.1      06/03/16     72.49 MiB    11.77 MiB    84.26 MiB    16.70 kbit/s
127.0.0.1      06/03/16     72.49 MiB    11.77 MiB    84.26 MiB    16.70 kbit/s
192.168.121.128     06/02/2016    98.75 MiB     1.18 MiB    99.93 MiB    34.29 kbit/s
192.168.121.128     06/02/2016    98.75 MiB     1.18 MiB    99.93 MiB    34.29 kbit/s
192.168.121.128     06/02/2016    98.75 MiB     1.18 MiB    99.93 MiB    34.29 kbit/s
192.168.121.128     06/02/2016    98.75 MiB     1.18 MiB    99.93 MiB    34.29 kbit/s
192.168.121.128     06/02/2016    98.75 MiB     1.18 MiB    99.93 MiB    34.29 kbit/s
192.168.121.128     06/02/2016    98.75 MiB     1.18 MiB    99.93 MiB    34.29 kbit/s
192.168.121.128     06/02/2016    98.75 MiB     1.18 MiB    99.93 MiB    34.29 kbit/s
192.168.121.128     06/02/2016    98.75 MiB     1.18 MiB    99.93 MiB    34.29 kbit/s
